Date,Test,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Average Time
03/31/2023 00:00:00,Sas,6.897,2.912,2.897,2.874,3.139,2.792,3.289,2.822,6.087,2.893,2.974,2.722,2.682,2.87,3.122,3.004,3.3735000000000004
04/12/2023 00:00:00,Sas,5.999,2.623,3.035,3.03,2.629,2.827,2.608,2.672,5.812,2.924,3.107,3.007,2.84,3.0,2.937,2.682,3.23325
04/12/2023 00:00:00,Sas,5.701,3.243,2.936,2.66,2.757,2.963,2.926,2.702,6.203,3.084,2.873,2.636,2.862,3.859,2.74,3.843,3.374250000000001
04/14/2023 00:00:00,Sas,9.076,2.542,2.619,3.62,3.14,3.249,3.438,2.875,5.958,3.058,3.763,2.775,2.79,3.161,17.278,2.894,4.514749999999999
04/14/2023 00:00:00,Sas,12.591,8.085,3.541,3.303,2.817,3.002,3.216,2.848,10.154,3.026,3.374,2.902,2.759,2.764,3.364,2.898,4.41525
04/15/2023 00:00:00,Sas,5.822,2.815,3.123,2.911,2.593,2.861,2.646,2.54,5.997,2.884,2.736,2.833,2.889,3.166,2.758,3.112,3.230375
04/15/2023 00:00:00,Sas,5.489,2.608,2.945,2.687,2.927,2.965,3.04,2.704,5.555,2.643,2.993,2.73,2.608,3.259,2.64,2.575,3.1479999999999997
